City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kungurtug,RU,50.5994,97.5228,8.56,92,56,1.79,broken clouds
79,Luwingu,ZM,-10.2621,29.9271,71.01,44,55,4.92,broken clouds
80,Vilhena,BR,-12.7406,-60.1458,70.25,97,100,3.98,overcast clouds
81,Jamestown,US,42.097,-79.2353,46.29,48,1,1.99,clear sky
82,Mwense,ZM,-10.3845,28.698,72.41,37,49,3.47,scattered clouds
83,Dwarka,IN,22.2394,68.9678,78.3,51,24,9.26,few clouds
84,Soe,ID,-9.8607,124.284,77.4,71,92,1.66,overcast clouds
85,Ahipara,NZ,-35.1667,173.1667,69.76,60,5,7.85,clear sky
86,Wangqing,CN,43.3218,129.7634,27.46,60,19,8.57,few clouds
87,Lavrentiya,RU,65.5833,-171.0,11.12,89,8,5.59,clear sky
88,Hobyo,SO,5.3505,48.5268,79.84,75,37,8.01,scattered clouds
89,Provideniya,RU,64.3833,-173.3,15.91,79,0,2.24,clear sky
90,Kiunga,PG,-6.1219,141.2906,79.07,90,100,1.92,overcast clouds
91,Apartado,CO,7.883,-76.6259,75.34,95,94,0.49,overcast clouds
92,Kaitangata,NZ,-46.2817,169.8464,61.93,78,97,10.09,overcast clouds
93,Qaanaaq,GL,77.484,-69.3632,-3.75,68,67,6.89,broken clouds
94,Sioux City,US,42.5,-96.4003,48.99,89,90,5.99,mist
95,Tezu,IN,27.9167,96.1667,62.6,44,11,4.05,few clouds
96,Majalgaon,IN,19.15,76.2333,62.56,52,100,4.92,overcast clouds
97,Mirnyy,RU,62.5353,113.9611,25.14,95,100,9.42,light snow
98,Beringovskiy,RU,63.05,179.3167,15.39,96,74,4.27,broken clouds
99,Thompson,CA,55.7435,-97.8558,28.56,74,90,9.22,overcast clouds
100,Banikoara,BJ,11.2985,2.4386,80.76,53,34,2.51,scattered clouds
101,La Ronge,CA,55.1001,-105.2842,28.65,80,90,14.97,light snow
102,Rakiv Lis,UA,51.6217,24.9243,33.55,70,68,7.7,broken clouds
103,Batagay-Alyta,RU,67.8006,130.4114,-0.92,86,94,6.02,overcast clouds
