City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Axim,GH,78.31,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
211,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
212,Buala,SB,84.45,light rain,-8.145,159.5921,Maringe Lagoon Lodge
215,Beira,MZ,78.89,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
216,Mogadishu,SO,78.91,scattered clouds,2.0371,45.3438,Hotel Juba
221,Butaritari,KI,82.96,few clouds,3.0707,172.7902,Isles Sunset Lodge
223,Miri,MY,80.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
226,Los Algarrobos,PA,72.01,thunderstorm,8.5,-82.4333,Waterfall Hostel
227,Prado,BR,76.87,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
228,Srandakan,ID,81.48,overcast clouds,-7.9386,110.2506,Puri Brata
229,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
232,Tomatlan,MX,74.1,clear sky,19.9333,-105.25,El Salvial
238,Atar,MR,76.53,overcast clouds,20.5169,-13.0499,Oumou Elghoura
240,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
241,Bocana De Paiwas,NI,72.18,broken clouds,12.7857,-85.1227,Guapinol Cabaña Monge
242,Ontario,US,82.85,clear sky,34.0633,-117.6509,American Inn
243,Anloga,GH,80.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
247,Tondano,ID,77.85,overcast clouds,1.3038,124.9112,Villa Bella
250,Saint George,US,72.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
255,Celestun,MX,74.28,clear sky,20.8667,-90.4,Posada Lilia
257,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
259,Rantauprapat,ID,74.97,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
262,Manaus,BR,79.29,few clouds,-3.1019,-60.025,Manaus Hotéis Millennium
263,Avanigadda,IN,75.34,overcast clouds,16.0215,80.9181,AP Camping
269,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
273,Hervey Bay,AU,85.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
276,Beruwala,LK,77.97,broken clouds,6.4788,79.9828,The Palms Hotel
282,Lompoc,US,78.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
283,Namatanai,PG,85.03,light rain,-3.6667,152.4333,Seagulls Inn Namatani
285,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
287,Lake Havasu City,US,83.01,clear sky,34.4839,-114.3224,Heat Hotel
289,Henderson,US,78.12,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
290,Atambua,ID,84.85,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
291,Marovoay,MG,82.54,moderate rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
295,Ambilobe,MG,74.23,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
297,Dibulla,CO,77.59,clear sky,11.2725,-73.3091,Hospedaje Dibulla Beach
299,Kudahuvadhoo,MV,82.36,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
301,Patea,NZ,71.67,broken clouds,-39.7583,174.4833,Patea Rest N Fresh
302,Sao Joao Da Barra,BR,70.07,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
305,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
306,Balabac,PH,84.87,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
311,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
312,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
314,Sambava,MG,74.66,scattered clouds,-14.2667,50.1667,Melrose
317,Batemans Bay,AU,78.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
318,Gewane,ET,77.83,overcast clouds,10.1664,40.6453,Ayelu pension
320,Ciudad Bolivar,VE,81.28,overcast clouds,8.1222,-63.5497,Hotel Edi
323,Camalu,MX,71.42,clear sky,30.85,-116.0667,La Cueva del Pirata
326,Gemena,CD,70.74,overcast clouds,3.25,19.7667,Hôtel Goshen
327,Kokopo,PG,85.95,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
338,Waingapu,ID,84.88,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
339,Forbes,AU,72.91,overcast clouds,-33.3833,148.0167,Lake Forbes Motel
341,Benguela,AO,75.34,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
342,San Carlos,VE,75.34,broken clouds,9.6612,-68.5827,Hotel Paternopoli
344,Mae Hong Son,TH,71.74,mist,19.3003,97.9685,Baiyoke Chalet Hotel
345,Corrientes,AR,71.49,clear sky,-27.4806,-58.8341,Gran Hotel Guaraní
348,Yenagoa,NG,75.42,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
351,Caravelas,BR,77.22,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
352,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
353,Marawi,PH,73.65,overcast clouds,7.9986,124.2928,Derogongan Residence
354,Diffa,NE,78.35,clear sky,13.3154,12.6113,ProDAF/Diffa
359,Bac Lieu,VN,76.33,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
362,Nabire,ID,81.36,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
364,Sola,VU,88.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
367,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
369,Gouyave,GD,77.77,broken clouds,12.1646,-61.7296,Rumboat Retreat
370,Sorong,ID,84.52,overcast clouds,-0.8833,131.25,waigo splash hotel
371,Tabou,CI,77.58,overcast clouds,4.423,-7.3528,hotêl doufoulougou
376,Santa Isabel Do Rio Negro,BR,74.16,broken clouds,-0.4139,-65.0192,Hotel GSA
381,Ixtapa,MX,81.63,broken clouds,20.7,-105.2,Hotel Plaza Providencia
382,Xuddur,SO,71.01,broken clouds,4.1213,43.8894,Banjanay Hotel
383,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
386,Hambantota,LK,73.74,scattered clouds,6.1241,81.1185,Bungalow 63
389,Kirakira,SB,85.93,scattered clouds,-10.4544,161.9205,SanBiz Lodge
391,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
395,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
399,Hermosillo,MX,88.68,clear sky,29.0667,-110.9667,ibis Hermosillo
402,Sosua,DO,80.58,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
403,Abu Dhabi,AE,73.51,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
405,Iralaya,HN,77.09,overcast clouds,15.0,-83.2333,Iglesia morava renovada
406,Muana,BR,72.25,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
407,Moussoro,TD,80.96,clear sky,13.6408,16.4901,Hôtel Salama
411,Male,MV,81.66,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
414,Haapiti,PF,85.73,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
420,Caibarien,CU,74.52,overcast clouds,22.5206,-79.4669,La Nena
422,Coxim,BR,82.26,light rain,-18.5067,-54.76,Hotel Avenida
425,Batticaloa,LK,76.78,overcast clouds,7.7102,81.6924,Grand Star Guest House
427,Upata,VE,72.43,broken clouds,8.0086,-62.3989,Posada Villa Nela
429,Tahoua,NE,79.59,clear sky,14.8888,5.2692,Bungalows Guesthouse
