City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Atuona,PF,2021-11-07 18:16:24,-9.8,-139.0333,77.74,76,8,13.15
68,Hobart,AU,2021-11-07 18:14:18,-42.8794,147.3294,49.26,84,75,4.61
69,Monrovia,LR,2021-11-07 18:16:24,6.3005,-10.7969,83.97,80,57,9.15
70,Havoysund,NO,2021-11-07 18:16:24,70.9963,24.6622,32.23,69,100,10.63
71,Nazareno,MX,2021-11-07 18:16:25,25.3833,-103.4167,73.94,20,69,2.62
72,Aden,YE,2021-11-07 18:16:25,12.7794,45.0367,82.9,60,16,11.48
73,Bethel,US,2021-11-07 18:12:47,41.3712,-73.414,56.48,43,1,3.44
74,Faanui,PF,2021-11-07 18:16:26,-16.4833,-151.75,79.56,72,7,6.69
75,Castro,BR,2021-11-07 18:13:21,-24.7911,-50.0119,72.99,76,78,2.17
76,Daru,PG,2021-11-07 18:16:26,-9.0763,143.2092,79.61,87,26,8.25
77,Bathsheba,BB,2021-11-07 18:16:26,13.2167,-59.5167,88.41,62,40,18.41
78,Issoire,FR,2021-11-07 18:16:27,45.55,3.25,45.66,93,98,3.6
79,Camapua,BR,2021-11-07 18:16:27,-19.5314,-54.0439,85.93,59,75,1.81
80,El Alto,PE,2021-11-07 18:16:27,-4.2714,-81.2147,71.26,71,54,20.47
81,Morondava,MG,2021-11-07 18:16:28,-20.2833,44.2833,78.91,87,25,8.88
82,Hithadhoo,MV,2021-11-07 18:16:28,-0.6,73.0833,82.31,74,72,12.88
83,Huayucachi,PE,2021-11-07 18:16:29,-12.1333,-75.2333,68.14,34,70,5.08
84,Lebu,CL,2021-11-07 18:16:29,-37.6167,-73.65,58.5,68,9,14.74
85,Hamilton,US,2021-11-07 18:15:30,39.1834,-84.5333,62.35,45,1,3.0
86,Meoqui,MX,2021-11-07 18:16:29,28.2833,-105.4833,78.8,20,54,8.39
87,Jamestown,US,2021-11-07 18:13:25,42.097,-79.2353,58.08,40,1,10.36
88,Torbay,CA,2021-11-07 18:16:30,47.6666,-52.7314,50.58,76,75,19.57
89,Sidi Ali,DZ,2021-11-07 18:16:30,36.0998,0.4206,56.08,54,40,5.73
90,Rush,IE,2021-11-07 18:16:31,53.5223,-6.0931,48.85,77,75,4.61
91,Zhuhai,CN,2021-11-07 18:17:31,22.2769,113.5678,70.7,88,75,24.16
92,Khatanga,RU,2021-11-07 18:17:31,71.9667,102.5,16.0,94,100,13.27
93,Aksarka,RU,2021-11-07 18:17:32,66.5606,67.7975,23.74,96,100,10.67
94,Inuvik,CA,2021-11-07 18:14:40,68.3499,-133.7218,9.36,85,90,2.3
95,Christchurch,NZ,2021-11-07 18:15:48,-43.5333,172.6333,56.03,87,90,5.01
96,Marshall,US,2021-11-07 18:14:19,34.3834,-86.3333,67.06,45,1,8.05
97,Ola,RU,2021-11-07 18:17:33,59.5833,151.2833,22.44,85,100,7.74
98,Cabo San Lucas,MX,2021-11-07 18:14:31,22.8909,-109.9124,89.62,43,19,0.98
99,Kovur,IN,2021-11-07 18:17:33,14.4833,79.9833,75.18,90,99,4.76
100,Yantal,RU,2021-11-07 18:17:34,56.8471,105.2542,27.73,91,100,14.94
101,Ozinki,RU,2021-11-07 18:17:34,51.1786,49.6769,39.38,87,100,5.17
102,Tuktoyaktuk,CA,2021-11-07 18:17:34,69.4541,-133.0374,17.6,86,90,4.61
103,Georgetown,MY,2021-11-07 18:17:32,5.4112,100.3354,78.73,95,40,0.0
104,Chokurdakh,RU,2021-11-07 18:17:35,70.6333,147.9167,-16.96,98,49,7.34
105,Yaan,NG,2021-11-07 18:17:35,7.3833,8.5667,81.59,69,69,5.12
106,Plyussa,RU,2021-11-07 18:17:35,58.4308,29.3654,42.78,93,100,9.04
107,Tambovka,RU,2021-11-07 18:17:35,50.0969,128.0489,8.71,87,100,3.62
108,Trairi,BR,2021-11-07 18:17:36,-3.2778,-39.2689,86.32,60,60,15.32
109,Orlik,RU,2021-11-07 18:17:36,52.5178,99.825,8.31,90,89,3.11
110,Atyashevo,RU,2021-11-07 18:17:36,54.5644,46.0691,34.92,83,76,6.8
111,Ilulissat,GL,2021-11-07 18:17:37,69.2167,-51.1,21.22,68,20,18.41
112,Barrow,US,2021-11-07 18:17:37,71.2906,-156.7887,26.62,74,90,10.36
113,Salalah,OM,2021-11-07 18:17:38,17.0151,54.0924,80.69,54,0,5.75
114,Mount Gambier,AU,2021-11-07 18:17:38,-37.8333,140.7667,48.54,66,37,3.24
115,Pullman,US,2021-11-07 18:14:14,46.7313,-117.1796,43.84,67,1,3.0
116,Dunedin,NZ,2021-11-07 18:17:38,-45.8742,170.5036,55.8,80,95,15.99
117,Lazaro Cardenas,MX,2021-11-07 18:16:48,17.9583,-102.2,84.58,68,58,3.18
118,Tomatlan,MX,2021-11-07 18:17:38,19.9333,-105.25,88.65,55,40,2.98
119,Fort Nelson,CA,2021-11-07 18:14:39,58.8053,-122.7002,26.19,86,90,6.91
120,Itaituba,BR,2021-11-07 18:14:40,-4.2761,-55.9836,94.26,38,82,4.43
121,Hobyo,SO,2021-11-07 18:17:39,5.3505,48.5268,80.69,69,68,11.32
122,Grants,US,2021-11-07 18:17:39,35.1473,-107.8514,62.83,22,1,5.75
123,Kyra,RU,2021-11-07 18:17:40,49.5776,111.9753,16.48,83,12,3.56
124,Barcelos,PT,2021-11-07 18:17:40,41.5388,-8.6151,58.91,63,9,3.62
125,Saint-Philippe,RE,2021-11-07 18:17:41,-21.3585,55.7679,74.79,81,80,9.6
126,Vannes,FR,2021-11-07 18:17:41,47.8333,-2.5,53.28,89,33,6.42
127,Sukumo,JP,2021-11-07 18:17:41,32.9333,132.7333,64.31,89,98,8.3
128,Upernavik,GL,2021-11-07 18:17:42,72.7868,-56.1549,12.56,92,71,14.09
129,Yellowknife,CA,2021-11-07 18:15:53,62.456,-114.3525,30.42,85,75,10.36
130,Nikolskoye,RU,2021-11-07 18:17:42,59.7035,30.7861,38.88,97,100,7.78
131,Samarai,PG,2021-11-07 18:17:43,-10.6167,150.6667,82.35,79,9,14.79
132,Ha Tinh,VN,2021-11-07 18:17:43,18.3333,105.9,74.82,87,27,1.05
133,Kruisfontein,ZA,2021-11-07 18:17:43,-34.0033,24.7314,58.89,85,100,4.45
134,Kenai,US,2021-11-07 18:16:44,60.5544,-151.2583,29.14,93,90,5.75
135,Najran,SA,2021-11-07 18:17:44,17.4924,44.1277,70.45,21,17,4.23
136,Timra,SE,2021-11-07 18:17:44,62.487,17.3257,32.68,76,90,8.05
137,Berlevag,NO,2021-11-07 18:17:44,70.8578,29.0864,30.2,68,100,15.21
138,Ponazyrevo,RU,2021-11-07 18:17:45,58.3578,46.3142,36.99,69,73,9.08
139,Anadyr,RU,2021-11-07 18:18:45,64.75,177.4833,14.5,92,90,6.71
140,College,US,2021-11-07 18:18:45,64.8569,-147.8028,22.66,93,90,0.0
141,Rockport,US,2021-11-07 18:18:45,28.0206,-97.0544,77.25,66,1,4.0
142,Yerbogachen,RU,2021-11-07 18:18:46,61.2767,108.0108,25.21,94,100,13.85
143,Calama,CL,2021-11-07 18:15:53,-22.4667,-68.9333,77.49,4,0,19.57
144,Makat,KZ,2021-11-07 18:18:46,47.6469,53.3463,39.58,41,91,8.77
145,Victoria,HK,2021-11-07 18:18:46,22.2855,114.1577,70.95,93,33,24.0
146,Mahebourg,MU,2021-11-07 18:18:47,-20.4081,57.7,77.29,78,40,8.05
147,Otofuke,JP,2021-11-07 18:18:47,42.9917,143.2003,42.71,90,87,1.41
148,Provideniya,RU,2021-11-07 18:18:47,64.3833,-173.3,13.77,93,71,5.32
